"Teryt","Gmina ","ogółem
total","na 1 km²
per 1 km²"
"0617052","  Trawniki",8429,100
"0617033","  Piaski",10201,60
"0617034","     miasto   town",2416,287
"0617035","     obszar wiejski   rural area",7785,48
"0618011","  Tomaszów Lubelski",17848,1343
"0618022","  Bełżec",3091,92
"0618032","  Jarczów",3144,29
"0618042","  Krynice",2974,40
"0618072","  Rachanie",4603,49
"0618082","  Susiec",6929,36
"0618092","  Tarnawatka",3764,45
"0618102","  Telatyn",3500,32
"0618112","  Tomaszów Lubelski",11108,65
"0618132","  Ulhówek",3949,27
"0618053","  Lubycza Królewska",5552,27
"0618054","     miasto   town",2142,549
"0618055","     obszar wiejski   rural area (c)",3410,17
"0618063","  Łaszczów",5465,43
"0618064","     miasto   town",1961,389
"0618065","     obszar wiejski   rural area",3504,28
"0618123","  Tyszowce",5089,40
"0618124","     miasto   town",1821,98
"0618125","     obszar wiejski   rural area",3268,30
"0619011","  Włodawa",12123,675
"0619022","  Hanna",2481,18
"0619032","  Hańsk",3384,19
"0619042","  Stary Brus",1808,14
"0619052","  Urszulin",4073,24
"0619062","  Włodawa",5719,23
"0619072","  Wola Uhruska",3594,24
"0619082","  Wyryki",2217,10
"0620012","  Adamów",4414,40
"0620022","  Grabowiec",3550,28
"0620032","  Komarów-Osada",4422,36
"0620052","  Łabunie",5881,67
"0620062","  Miączyn",5010,32
"0620072","  Nielisz",5065,45
"0620082","  Radecznica",5065,46
"0620092","  Sitno",6529,58
"0620102","  Skierbieszów",4715,34
"0620112","  Stary Zamość",4803,49
"0620122","  Sułów",4039,43
"0620142","  Zamość",23953,122
"0620043","  Krasnobród",6687,53
"0620044","     miasto   town",2967,424
"0620045","     obszar wiejski   rural area",3720,31
"0620133","  Szczebrzeszyn",10528,85
"0620134","     miasto   town",4744,163
"0620135","     obszar wiejski   rural area",5784,61
"0620153","  Zwierzyniec",6092,40
"0620154","     miasto   town",2780,449
"0620155","     obszar wiejski   rural area",3312,22
"0661011","  Biała Podlaska",54453,1102
"0662011","  Chełm",57214,1431
"0663011","  Lublin",329565,2235
"0664011","  Zamość",58231,1920
"0801011","  Kostrzyn nad Odrą",17591,381
"0801022","  Bogdaniec",7184,64
"0801032","  Deszczno",10916,65
"0801042","  Kłodawa",9335,40
"0801052","  Lubiszyn",7156,35
"0801062","  Santok",9570,56
"0801073","  Witnica",12145,44
"0801074","     miasto   town",6434,781
"0801075","     obszar wiejski   rural area",5711,21
"0802011","  Gubin",15606,755
"0802022","  Bobrowice",3033,16
"0802032","  Bytnica",2286,11
"0802042","  Dąbie",4920,29
"0802052","  Gubin",7207,19
"0802072","  Maszewo",2723,13
"0802063","  Krosno Odrzańskie",16942,80
"0802064","     miasto   town",10533,1292
"0802065","     obszar wiejski   rural area",6409,32
"0803012","  Bledzew",3894,16
"0803032","  Przytoczna",5331,29
"0803042","  Pszczew",4173,23
"0803023","  Międzyrzecz",23698,75
"0803024","     miasto   town",16832,1206
"0803025","     obszar wiejski   rural area",6866,23
"0803053","  Skwierzyna",11513,40
"0803054","     miasto   town",9078,253
"0803055","     obszar wiejski   rural area",2435,10
"0803063","  Trzciel",6230,35
"0803064","     miasto   town",2221,731
"0803065","     obszar wiejski   rural area",4009,23
"0804011","  Nowa Sól",36040,1653
"0804032","  Kolsko",3208,40
"0804052","  Nowa Sól",7328,42
"0804082","  Siedlisko",3319,36
"0804023","  Bytom Odrzański",5089,97
"0804024","     miasto   town",3910,1700
"0804025","     obszar wiejski   rural area",1179,24
"0804043","  Kożuchów",15223,85
"0804044","     miasto   town",8892,1497
"0804045","     obszar wiejski   rural area",6331,37
"0804063","  Nowe Miasteczko",5030,65
"0804064","     miasto   town",2636,801
"0804065","     obszar wiejski   rural area",2394,32
"0804073","  Otyń",7049,75
"0804074","     miasto   town",1758,223
"0804075","     obszar wiejski   rural area",5291,61
"0805022","  Górzyca",4063,28
"0805013","  Cybinka",6150,22
"0805014","     miasto   town",2656,502
"0805015","     obszar wiejski   rural area",3494,13
"0805033","  Ośno Lubuskie",6167,31
"0805034","     miasto   town",3889,486
"0805035","     obszar wiejski   rural area",2278,12
"0805043","  Rzepin",9437,49
"0805044","     miasto   town",6404,561
"0805045","     obszar wiejski   rural area",3033,17
"0805053","  Słubice",20037,108
"0805054","     miasto   town",16255,846
"0805055","     obszar wiejski   rural area",3782,23
"0806032","  Stare Kurowo",3922,51
"0806052","  Zwierzyn",4133,41
"0806013","  Dobiegniew",6159,18
"0806014","     miasto   town",2985,525
"0806015","     obszar wiejski   rural area",3174,9
"0806023","  Drezdenko",16315,41
"0806024","     miasto   town",9455,882
"0806025","     obszar wiejski   rural area",6860,18
"0806043","  Strzelce Krajeńskie",16129,51
"0806044","     miasto   town",9705,1752
"0806045","     obszar wiejski   rural area",6424,20
"0807012","  Krzeszyce",4583,24
"0807032","  Słońsk",4613,29
"0807023","  Lubniewice",3041,23
"0807024","     miasto   town",2004,165
"0807025","     obszar wiejski   rural area",1037,9
"0807043","  Sulęcin",15028,47
"0807044","     miasto   town",9738,1138
"0807045","     obszar wiejski   rural area",5290,17
"0807053","  Torzym",6230,17
"0807054","     miasto   town",2391,262
"0807055","     obszar wiejski   rural area",3839,10
"0808012","  Lubrza",3581,29
"0808022","  Łagów",4727,24
"0808032","  Skąpe",5014,28
"0808042","  Szczaniec",3646,32
"0808053","  Świebodzin",28909,128
"0808054","     miasto   town",20778,1227
"0808055","     obszar wiejski   rural area",8131,39
"0808063","  Zbąszynek",8084,86
"0808064","     miasto   town",4898,1372
"0808065","     obszar wiejski   rural area",3186,35
"0812013","  Sława",12420,38
"0812014","     miasto   town",4103,276
"0812015","     obszar wiejski   rural area",8317,27
"0812023","  Szlichtyngowa",4818,48
"0812024","     miasto   town",1257,811
"0812025","     obszar wiejski   rural area",3561,36
"0812033","  Wschowa",20013,101
"0812034","     miasto   town",12991,1403
"0812035","     obszar wiejski   rural area",7022,37
"0809022","  Bojadła",3165,31
"0809072","  Świdnica",6916,43
"0809082","  Trzebiechów",3159,39
"0809092","  Zabór",4741,51
"0809013","  Babimost",6062,65
"0809014","     miasto   town",3818,1046
"0809015","     obszar wiejski   rural area (a)",2244,25
"0809033","  Czerwieńsk",10131,52
"0809034","     miasto   town",3776,403
"0809035","     obszar wiejski   rural area",6355,34
"0809043","  Kargowa",5923,46
"0809044","     miasto   town",3827,841
"0809045","     obszar wiejski   rural area",2096,17
"0809053","  Nowogród Bobrzański",8998,35
"0809054","     miasto   town",4767,326
"0809055","     obszar wiejski   rural area",4231,17
"0809063","  Sulechów",25982,110
"0809064","     miasto   town",15467,2265
"0809065","     obszar wiejski   rural area",10515,46
"0810011","  Gozdnica",2726,114
"0810021","  Żagań",23462,581
"0810032","  Brzeźnica",3461,28
"0810062","  Niegosławice",4250,31
"0810082","  Wymiarki",2079,33
"0810092","  Żagań",7159,26
"0810043","  Iłowa",6351,41
"0810044","     miasto   town",3593,391
"0810045","     obszar wiejski   rural area",2758,19
"0810053","  Małomice",5143,65
"0810054","     miasto   town",3420,497
"0810055","     obszar wiejski   rural area",1723,24
"0810073","  Szprotawa",18968,82
"0810074","     miasto   town",10554,964
"0810075","     obszar wiejski   rural area",8414,38
"0811011","  Łęknica",2238,136
"0811021","  Żary",34837,1048
"0811052","  Lipinki Łużyckie",3241,37
"0811072","  Przewóz",3001,17
"0811082","  Trzebiel",5463,33
"0811092","  Tuplice",2888,44
"0811102","  Żary",12475,42
"0811033","  Brody",3129,13
"0811034","     miasto   town",837,273
"0811035","     obszar wiejski   rural area",2292,10
"0811043","  Jasień",6695,53
"0811044","     miasto   town",4037,846
"0811045","     obszar wiejski   rural area",2658,22
"0811063","  Lubsko",17243,94
"0811064","     miasto   town",12858,1022
"0811065","     obszar wiejski   rural area",4385,26
"0861011","  Gorzów Wielkopolski",115247,1344
"0862011","  Zielona Góra",138932,505
"1001011","  Bełchatów",52331,1511
"1001022","  Bełchatów",13105,65
"1001032","  Drużbice",5280,47
"1001042","  Kleszczów",6287,60
"1001052","  Kluki",4318,36
"1001062","  Rusiec",4770,48
"1001072","  Szczerców",8159,63
"1001083","  Zelów",14349,86
"1001084","     miasto   town",7059,657
"1001085","     obszar wiejski   rural area",7290,47
"1021011","  Brzeziny",11949,554
"1021022","  Brzeziny",6128,57
"1021032","  Dmosin",4365,44
"1021052","  Rogów",4575,69
"1021043","  Jeżów",3142,49
"1021044","     miasto   town",1254,100
"1021045","     obszar wiejski   rural area",1888,37
"1002011","  Kutno",40723,1212
"1002022","  Bedlno",5075,40
"1002052","  Krzyżanów",4005,39
"1002062","  Kutno",8968,73
"1002072","  Łanięta",2186,40
"1002082","  Nowe Ostrowy",3200,45
"1002092","  Oporów",2415,36
"1002102","  Strzelce",3720,41
"1002033","  Dąbrowice",1783,39
"1002034","     miasto   town",951,51
"1002035","     obszar wiejski   rural area",832,30
"1002043","  Krośniewice",7720,82
"1002044","     miasto   town",3991,955
"1002045","     obszar wiejski   rural area",3729,41
"1002113","  Żychlin",10876,142
"1002114","     miasto   town",7494,863
"1002115","     obszar wiejski   rural area",3382,50
"1003012","  Buczek",5041,55
"1003032","  Sędziejowice",6203,52
"1003042","  Widawa",6863,38
"1003052","  Wodzierady",3737,45
"1003023","  Łask",26898,185
"1003024","     miasto   town",16058,1025
"1003025","     obszar wiejski   rural area",10840,84
"1004011","  Łęczyca",13065,1460
"1004022","  Daszyna",3629,45
"1004032","  Góra Świętej Małgorzaty",4251,47
"1004052","  Łęczyca",8184,54
"1004072","  Świnice Warckie",3640,39
"1004082","  Witonia",3023,50
"1004043","  Grabów",5298,34
"1004044","     miasto   town",1007,110
"1004045","     obszar wiejski   rural area",4291,29
"1004063","  Piątek",5576,42
"1004064","     miasto   town",1551,296
"1004065","     obszar wiejski   rural area",4025,31
"1005011","  Łowicz",25972,1109
"1005022","  Bielawy",5009,31
"1005032","  Chąśno",2887,40
"1005042","  Domaniewice",4524,52
"1005062","  Kocierzew Południowy",3981,42
"1005072","  Łowicz",7730,58
"1005082","  Łyszkowice",6423,60
"1005092","  Nieborów",9220,89
"1005102","  Zduny",5189,40
"1005053","  Kiernozia",3074,40
"1005054","     miasto   town",806,176
"1005055","     obszar wiejski   rural area",2268,32
"1006022","  Andrespol",14752,573
"1006032","  Brójce",7285,106
"1006082","  Nowosolna",5710,106
"1006073","  Koluszki",22799,147
"1006074","     miasto   town",12046,1217
"1006075","     obszar wiejski   rural area",10753,74
"1006103","  Rzgów",11347,171
"1006104","     miasto   town",3457,206
"1006105","     obszar wiejski   rural area",7890,159
"1006113","  Tuszyn",12813,99
"1006114","     miasto   town",7171,308
"1006115","     obszar wiejski   rural area",5642,53
"1007032","  Mniszków",4723,38
"1007052","  Paradyż",4181,51
"1007062","  Poświętne",2897,20
"1007072","  Sławno",7468,58
"1007013","  Białaczów",5498,48
"1007014","     miasto   town",1089,50
"1007015","     obszar wiejski   rural area",4409,48
"1007023","  Drzewica",9789,83
"1007024","     miasto   town",3526,733
"1007025","     obszar wiejski   rural area",6263,55
"1007043","  Opoczno",31676,166
"1007044","     miasto   town",18913,701
"1007045","     obszar wiejski   rural area",12763,78
"1007083","  Żarnów",5544,39
"1007084","     miasto   town",1096,114
"1007085","     obszar wiejski   rural area",4448,34
"1008011","  Konstantynów Łódzki",19231,706
"1008021","  Pabianice",60598,1837
"1008032","  Dłutów",4969,49
"1008042","  Dobroń",8121,85
"1008052","  Ksawerów",7665,562
"1008072","  Pabianice",9000,103
"1008063","  Lutomiersk",9482,71
"1008064","     miasto   town",1574,303
"1008065","     obszar wiejski   rural area",7908,61
"1009022","  Kiełczygłów",3772,43
"1009032","  Nowa Brzeźnica",4332,32
"1009052","  Rząśnia",4919,57
"1009062","  Siemkowice",4439,44
"1009072","  Strzelce Wielkie",4161,53
"1009082","  Sulmierzyce",4397,53
"1009013","  Działoszyn",11475,95
"1009014","     miasto   town",5239,1061
"1009015","     obszar wiejski   rural area",6236,54
"1009043","  Pajęczno",11080,97
"1009044","     miasto   town",6370,315
"1009045","     obszar wiejski   rural area",4710,50
"1010012","  Aleksandrów",4244,29
"1010022","  Czarnocin",4016,56
"1010032","  Gorzkowice",8205,80
"1010042","  Grabica",6056,47
"1010052","  Łęki Szlacheckie",3180,29
"1010062","  Moszczenica",12562,113
"1010072","  Ręczno",3330,38
"1010102","  Wola Krzysztoporska",11918,70
"1010083","  Rozprza",12186,75
"1010084","     miasto   town",1622,388
"1010085","     obszar wiejski   rural area",10564,66
"1010093","  Sulejów",16582,88
"1010094","     miasto   town",5932,226
"1010095","     obszar wiejski   rural area",10650,66
"1010113","  Wolbórz",7842,52
"1010114","     miasto   town",2270,150
"1010115","     obszar wiejski   rural area",5572,41
"1011012","  Dalików",4018,35
"1011022","  Pęczniew",3353,26
"1011052","  Wartkowice",6059,43
"1011062","  Zadzim",4669,32
"1011033","  Poddębice",14524,65
"1011034","     miasto   town",6756,1151
"1011035","     obszar wiejski   rural area",7768,36
"1011043","  Uniejów",6733,52
"1011044","     miasto   town",2982,244
"1011045","     obszar wiejski   rural area",3751,32
"1012011","  Radomsko",42973,836
"1012022","  Dobryszyce",4596,90
"1012032","  Gidle",5737,49
"1012042","  Gomunice",5641,90
"1012062","  Kobiele Wielkie",4240,42
"1012072","  Kodrąb",4265,40
"1012082","  Lgota Wielka",4145,66
"1012092","  Ładzice",4597,56
"1012102","  Masłowice",3875,33
"1012122","  Radomsko",5419,63
"1012132","  Wielgomłyny",4287,35
"1012142","  Żytno",4788,24
"1012053","  Kamieńsk",5539,57
"1012054","     miasto   town",2599,217
"1012055","     obszar wiejski   rural area",2940,35
"1012113","  Przedbórz",6569,35
"1012114","     miasto   town",3182,523
"1012115","     obszar wiejski   rural area",3387,18
"1013011","  Rawa Mazowiecka",15941,1116
"1013032","  Cielądz",3923,42
"1013042","  Rawa Mazowiecka",8623,53
"1013052","  Regnów",1702,37
"1013062","  Sadkowice",5112,42
"1013023","  Biała Rawska",10781,52
"1013024","     miasto   town",3001,315
"1013025","     obszar wiejski   rural area",7780,39
"1014011","  Sieradz",38729,756
"1014032","  Brąszewice",4316,40
"1014042","  Brzeźnio",6160,48
"1014052","  Burzenin",5255,44
"1014062","  Goszczanów",5059,42
"1014072","  Klonowa",2741,29
"1014082","  Sieradz",10801,59
"1014102","  Wróblew",5897,52
"1014023","  Błaszki",13938,69
"1014024","     miasto   town",1987,1227
"1014025","     obszar wiejski   rural area",11951,60
"1014093","  Warta",11798,46
"1014094","     miasto   town",2935,271
"1014095","     obszar wiejski   rural area",8863,36
"1014113","  Złoczew",6783,58
"1014114","     miasto   town",3403,247
"1014115","     obszar wiejski   rural area",3380,33
"1015022","  Głuchów",5478,49
"1015032","  Godzianów",2542,58
"1015042","  Kowiesy",2774,32
"1015052","  Lipce Reymontowskie",3097,72
"1015062","  Maków",5977,73
"1015072","  Nowy Kawęczyn",3398,33
"1015082","  Skierniewice",8147,62
"1015092","  Słupia",2485,60
"1015013","  Bolimów",3889,35
"1015014","     miasto   town",900,238
"1015015","     obszar wiejski   rural area",2989,28
"1016011","  Tomaszów Mazowiecki",57438,1391
"1016022","  Będków",3142,54
"1016032","  Budziszewice",2077,69
"1016042","  Czerniewice",4809,38
"1016062","  Lubochnia",7163,54
"1016072","  Rokiciny",6120,68
"1016082","  Rzeczyca",4374,41
"1016092","  Tomaszów Mazowiecki",11405,76
"1016112","  Żelechlinek",3105,34
"1016053","  Inowłódz",3652,37
"1016054","     miasto   town",735,47
"1016055","     obszar wiejski   rural area",2917,36
"1016103","  Ujazd",7349,76
"1016104","     miasto   town",1533,150
"1016105","     obszar wiejski   rural area",5816,67
"1017012","  Biała",5299,72
"1017022","  Czarnożyły",4370,63
"1017032","  Konopnica",3533,43
"1017042","  Mokrsko",5052,65
"1017062","  Ostrówek",4375,43
"1017072","  Pątnów",6191,54
"1017082","  Skomlin",3201,58
"1017102","  Wierzchlas",6403,54
"1017053","  Osjaków",4637,46
"1017054","     miasto   town",1309,158
"1017055","     obszar wiejski   rural area",3328,36
"1017093","  Wieluń",29525,226
"1017094","     miasto   town",20448,1212
"1017095","     obszar wiejski   rural area",9077,80
"1018022","  Czastary",3875,62
"1018032","  Galewice",6125,45
"1018052","  Łubnice",3852,63
"1018062","  Sokolniki",5103,64
"1018013","  Bolesławiec",3869,60
"1018014","     miasto   town",875,296
"1018015","     obszar wiejski   rural area",2994,49
"1018043","  Lututów",4549,60
"1018044","     miasto   town",2200,116
"1018045","     obszar wiejski   rural area",2349,41
"1018073","  Wieruszów",14079,145
"1018074","     miasto   town",8332,1396
"1018075","     obszar wiejski   rural area",5747,63
"1019011","  Zduńska Wola",38402,1562
"1019032","  Zapolice",5508,68
"1019042","  Zduńska Wola",12361,111
"1019023","  Szadek",7055,47
"1019024","     miasto   town",1761,98
"1019025","     obszar wiejski   rural area",5294,40
"1020011","  Głowno",13116,661
"1020021","  Ozorków",18064,1168
"1020031","  Zgierz",53543,1265
"1020052","  Głowno",4627,44
"1020062","  Ozorków",7248,76
"1020092","  Zgierz",16337,82
"1020043","  Aleksandrów Łódzki",35110,302
"1020044","     miasto   town",22002,1592
"1020045","     obszar wiejski   rural area",13108,128
"1020073","  Parzęczew",5284,51
"1020074","     miasto   town",918,142
"1020075","     obszar wiejski   rural area",4366,45
"1020083","  Stryków",13011,82
"1020084","     miasto   town",3363,413
"1020085","     obszar wiejski   rural area",9648,64
"1061011","  Łódź (a)",652015,2223
"1062011","  Piotrków Trybunalski",66519,989
"1063011","  Skierniewice",45184,1306
"1201011","  Bochnia",28441,952
"1201022","  Bochnia",20824,159
"1201032","  Drwinia",6430,59
"1201042","  Lipnica Murowana",5527,92
"1201052","  Łapanów",8613,120
"1201072","  Rzezawa",11448,133
"1201082","  Trzciana",5716,130
"1201092","  Żegocina",5529,159
"1201063","  Nowy Wiśnicz",14418,175
"1201064","     miasto   town",2730,549
"1201065","     obszar wiejski   rural area",11688,151
"1202012","  Borzęcin",8108,79
"1202042","  Dębno",14502,178
"1202052","  Gnojnik",8113,148
"1202062","  Iwkowa",6623,140
"1202072","  Szczurowa",9124,68
"1202023","  Brzesko",35479,346
"1202024","     miasto   town",15928,1337
"1202025","     obszar wiejski   rural area",19551,215
"1202033","  Czchów",9721,146
"1202034","     miasto   town",2276,162
"1202035","     obszar wiejski   rural area",7445,142
"1203022","  Babice",8985,166
"1203013","  Alwernia",12354,167
"1203014","     miasto   town",3244,365
"1203015","     obszar wiejski   rural area",9110,140
"1203033","  Chrzanów",43941,553
"1203034","     miasto   town",33928,886
"1203035","     obszar wiejski   rural area",10013,243
"1203043","  Libiąż",21083,370
"1203044","     miasto   town",15912,444
"1203045","     obszar wiejski   rural area",5171,245
"1203053","  Trzebinia",32321,307
"1203054","     miasto   town",18502,579
"1203055","     obszar wiejski   rural area",13819,188
"1204012","  Bolesław",2628,74
"1204032","  Gręboszów",3162,65
"1204042","  Mędrzechów",3285,74
"1204052","  Olesno",7634,98
"1204062","  Radgoszcz",7465,85
"1204023","  Dąbrowa Tarnowska",20926,180
"1204024","     miasto   town",11458,494
"1204025","     obszar wiejski   rural area",9468,102
"1204073","  Szczucin",12450,104
"1204074","     miasto   town",4086,596
"1204075","     obszar wiejski   rural area",8364,74
"1205011","  Gorlice",25523,1085
"1205042","  Gorlice",16946,165
"1205052","  Lipinki",6683,101
"1205062","  Łużna",8340,148
"1205072","  Moszczenica",4903,130
"1205082","  Ropa",5492,112
"1205092","  Sękowa",4938,25
"1205102","  Uście Gorlickie",6784,24
"1205023","  Biecz",16101,164
"1205024","     miasto   town",4313,243
"1205025","     obszar wiejski   rural area",11788,146
"1205033","  Bobowa",9612,193
"1205034","     miasto   town",3060,426
"1205035","     obszar wiejski   rural area",6552,154
"1206012","  Czernichów",15436,183
"1206022","  Igołomia-Wawrzeńczyce",7839,125
"1206032","  Iwanowice",9822,138
"1206042","  Jerzmanowice-Przeginia",11189,164
"1206052","  Kocmyrzów-Luborzyca",18243,220
"1206072","  Liszki",18591,258
"1206082","  Michałowice",13379,262
"1206092","  Mogilany",16286,373
"1206132","  Sułoszowa",5672,106
"1206152","  Wielka Wieś",16916,350
"1206162","  Zabierzów (a)",29602,298
"1206172","  Zielonki",27751,571
"1206063","  Krzeszowice",31866,229
"1206064","     miasto   town",9743,574
"1206065","     obszar wiejski   rural area",22123,181
"1206103","  Skała",10954,146
"1206104","     miasto   town",3880,1306
"1206105","     obszar wiejski   rural area",7074,98
"1206113","  Skawina",44002,441
"1206114","     miasto   town",23967,1169
"1206115","     obszar wiejski   rural area",20035,253
"1206123","  Słomniki",13675,123
"1206124","     miasto   town",4161,1213
"1206125","     obszar wiejski   rural area",9514,89
"1206143","  Świątniki Górne",11124,547
"1206144","     miasto   town",2385,537
"1206145","     obszar wiejski   rural area",8739,549
"1207011","  Limanowa",14430,772
"1207021","  Mszana Dolna",7826,289
"1207032","  Dobra",10105,92
"1207042","  Jodłownik",8769,121
"1207052","  Kamienica",7794,82
"1207062","  Laskowa",8179,113
"1207072","  Limanowa",26052,171
"1207082","  Łukowica",10171,146
"1207092","  Mszana Dolna",17638,104
"1207102","  Niedźwiedź",7307,98
"1207112","  Słopnice",7010,123
"1207122","  Tymbark",6373,195
"1208012","  Charsznica",7081,90
"1208022","  Gołcza",5918,66
"1208032","  Kozłów",4422,52
"1208062","  Racławice",2422,41
"1208072","  Słaboszów",3311,43
"1208043","  Książ Wielki",4827,35
"1208044","     miasto   town",839,149
"1208045","     obszar wiejski   rural area",3988,30
"1208053","  Miechów",18686,126
"1208054","     miasto   town",10918,705
"1208055","     obszar wiejski   rural area",7768,58
"1209022","  Lubień",10094,134
"1209042","  Pcim",11093,125
"1209052","  Raciechowice",6429,105
"1209062","  Siepraw",9638,303
"1209082","  Tokarnia",8799,128
"1209092","  Wiśniowa",7527,112
"1209013","  Dobczyce",15530,234
"1209014","     miasto   town",6163,475
"1209015","     obszar wiejski   rural area",9367,175
"1209033","  Myślenice",45541,297
"1209034","     miasto   town",17745,587
"1209035","     obszar wiejski   rural area",27796,226
"1209073","  Sułkowice",15192,252
"1209074","     miasto   town",6464,393
"1209075","     obszar wiejski   rural area",8728,199
"1210011","  Grybów",5947,351
"1210022","  Chełmiec",29725,266
"1210032","  Gródek nad Dunajcem",8923,101
"1210042","  Grybów",25343,165
"1210052","  Kamionka Wielka",10482,161
"1210062","  Korzenna",14432,135
"1210082","  Łabowa",6019,51
"1210092","  Łącko",16666,125
"1210102","  Łososina Dolna",11211,132
"1210122","  Nawojowa",8862,176
"1210142","  Podegrodzie",13583,210
"1210152","  Rytro",3667,87
"1210073","  Krynica-Zdrój",15615,107
"1210074","     miasto   town",9597,242
"1210075","     obszar wiejski   rural area",6018,57
"1210113","  Muszyna",11085,78
"1210114","     miasto   town",4433,181
"1210115","     obszar wiejski   rural area",6652,57
"1210133","  Piwniczna-Zdrój",9941,79
"1210134","     miasto   town",5385,141
"1210135","     obszar wiejski   rural area",4556,52
"1210163","  Stary Sącz",23533,233
"1210164","     miasto   town",8701,580
"1210165","     obszar wiejski   rural area",14832,173
"1211011","  Nowy Targ",33065,647
"1211042","  Czorsztyn",7600,122
"1211052","  Jabłonka",19154,90
"1211062","  Krościenko nad Dunajcem",6639,116
"1211072","  Lipnica Wielka",6053,90
"1211082","  Łapsze Niżne",9252,74
"1211092","  Nowy Targ",24063,116
"1211102","  Ochotnica Dolna",8489,60
"1211112","  Raba Wyżna",14448,162
"1211132","  Spytkowice",4705,146
"1211142","  Szaflary",11271,208
"1211033","  Czarny Dunajec",22176,102
"1211034","     miasto   town",3680,97
"1211035","     obszar wiejski   rural area",18496,103
"1211123","  Rabka-Zdrój",16546,239
"1211124","     miasto   town",12233,333
"1211125","     obszar wiejski   rural area",4313,133
"1211023","  Szczawnica",6646,76
"1211024","     miasto   town",5208,158
"1211025","     obszar wiejski   rural area",1438,26
"1212011","  Bukowno",9467,147
"1212032","  Bolesław",7566,186
"1212042","  Klucze",14439,121
"1212062","  Trzyciąż",6914,72
"1212053","  Olkusz",45630,302
"1212054","     miasto   town",32261,1258
"1212055","     obszar wiejski   rural area",13369,107
"1212073","  Wolbrom",21884,149
"1212074","     miasto   town",8045,795
"1212075","     obszar wiejski   rural area",13839,101
"1213011","  Oświęcim",35577,1180
"1213052","  Osiek",8129,199
"1213062","  Oświęcim",18987,254
"1213072","  Polanka Wielka",4310,180
"1213082","  Przeciszów",6355,179
"1213023","  Brzeszcze",20365,446
"1213024","     miasto   town",10657,560
"1213025","     obszar wiejski   rural area",9708,365
"1213033","  Chełmek",12306,451
"1213034","     miasto   town",8413,1015
"1213035","     obszar wiejski   rural area",3893,205
"1213043","  Kęty",33267,435
"1213044","     miasto   town",17669,768
"1213045","     obszar wiejski   rural area",15598,292
"1213093","  Zator",9119,177
"1213094","     miasto   town",3601,313
"1213095","     obszar wiejski   rural area",5518,138
"1214012","  Koniusza",9085,103
"1214042","  Pałecznica",3446,72
"1214062","  Radziemice",3170,55
"1214023","  Koszyce",5224,79
"1214024","     miasto   town",759,234
"1214025","     obszar wiejski   rural area",4465,71
"1214033","  Nowe Brzesko",5610,103
"1214034","     miasto   town",1604,221
"1214035","     obszar wiejski   rural area",4006,85
"1214053","  Proszowice",15470,155
"1214054","     miasto   town",5744,783
"1214055","     obszar wiejski   rural area",9726,105
"1215011","  Jordanów",5403,257
"1215021","  Sucha Beskidzka",8868,321
"1215032","  Budzów",8834,120
"1215042","  Bystra-Sidzina",6798,84
"1215052","  Jordanów",11190,121
"1215072","  Stryszawa",11886,104
"1215082","  Zawoja",8776,68
"1215092","  Zembrzyce",5389,137
"1215063","  Maków Podhalański",15742,145
"1215064","     miasto   town",5534,275
"1215065","     obszar wiejski   rural area",10208,115
"1216022","  Gromnik",8746,125
"1216032","  Lisia Góra",15619,149
"1216042","  Pleśna",11740,141
"1216072","  Rzepiennik Strzyżewski",6509,92
"1216082","  Skrzyszów",14168,165
"1216162","  Szerzyny",7502,91
"1216092","  Tarnów",26417,319
"1216112","  Wierzchosławice",10525,140
"1216122","  Wietrzychowice",3724,77
"1216013","  Ciężkowice",10985,106
"1216014","     miasto   town",2482,248
"1216015","     obszar wiejski   rural area",8503,91
"1216053","  Radłów",9386,109
"1216054","     miasto   town",2698,160
"1216055","     obszar wiejski   rural area",6688,96
"1216063","  Ryglice",11205,96
"1216064","     miasto   town",2673,106
"1216065","     obszar wiejski   rural area",8532,93
"1216103","  Tuchów",16985,170
"1216104","     miasto   town",6176,341
"1216105","     obszar wiejski   rural area",10809,132
"1216133","  Wojnicz",13071,165
"1216134","     miasto   town",3141,370
"1216135","     obszar wiejski   rural area",9930,140
"1216143","  Zakliczyn",12356,101
"1216144","     miasto   town",1579,393
"1216145","     obszar wiejski   rural area",10777,91
"1216153","  Żabno",18397,181
"1216154","     miasto   town",4100,368
"1216155","     obszar wiejski   rural area",14297,158
"1217011","  Zakopane",25204,299
"1217022","  Biały Dunajec",6832,194
"1217032","  Bukowina Tatrzańska",13565,103
"1217042","  Kościelisko",9076,66
"1217052","  Poronin",11801,141
"1218022","  Brzeźnica",10833,163
"1218042","  Lanckorona",6267,155
"1218052","  Mucharz",4175,112
"1218062","  Spytkowice",10098,196
"1218072","  Stryszów",6786,148
"1218082","  Tomice",8241,198
"1218102","  Wieprz",12763,171
"1218013","  Andrychów",41946,418
"1218014","     miasto   town",18311,1771
"1218015","     obszar wiejski   rural area",23635,263
"1218033","  Kalwaria Zebrzydowska",19889,264
"1218034","     miasto   town",4300,782
"1218035","     obszar wiejski   rural area",15589,223
"1218093","  Wadowice",36475,323
"1218094","     miasto   town",17196,1635
"1218095","     obszar wiejski   rural area",19279,188
"1219012","  Biskupice",11735,285
"1219022","  Gdów",18642,171
"1219032","  Kłaj",11174,173
